Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
201211150002,Avalon Fuel,Avalon Fuel Company,10/26/2012,901,Ohio River Blvd,PA,15202,40.495759,-80.066508,9,Convenience Store
201511040005,Ez Energy #303/7Eleven #36183H,Neelkanth Ansh Enterprises Inc,10/26/2015,209,Ohio River Blvd,PA,15143,40.545418,-80.194152,9,Convenience Store
201212130003,EZ Energy #311 / 7 Eleven #36191H,7 Eleven Inc,12/3/2012,8136,Ohio River Blvd,PA,15202,40.510522,-80.094268,9,Convenience Store
201211190006,Getgo #3646 / Crafton - Ingram,Giant Eagle Inc,11/15/2012,280,Crafton Ingram Shopping circle,PA,15205,41.203322,-77.194525,3,Convenience Store
53583,Mt NeBlvd Texaco,Mt NeBlvd Texaco,6/2/1995,1706,Mt Nebo Rd,PA,15143,40.553281,-80.109158,8,Convenience Store
201304220008,Radokovic Marathon,Radokovic Enterprises LlC,4/16/2013,1826,Lincoln Highway,PA,15137,40.367923,-79.780429,9,Convenience Store
200002290002,Sunoco #7544,Sunoco Inc R&M,2/2/2000,1201,Airport Blvdulevard,PA,15231,40.494177,-80.267208,9,Convenience Store
52845,Sunoco A Plus Mini Market #8154,,10/25/1994,5204,Interbo Ave,PA,15207,40.370214,-79.913195,9,Convenience Store
201310080001,Plow & Hearth,Plow & Hearth LLC,9/25/2013,1710,Settlers Ridge Center Dr,PA,15205,40.440641,-80.149132,5,Convenience Store
43192,S & R Market,Mac's Convenience Stores LLC,1/11/1988,4915,2nd Ave,PA,15207,40.529076,-80.025577,5,Convenience Store
201301030001,EZ Energy #307 / 7 Eleven #36187H,7 Eleven Inc,12/11/2012,4630,Wm Flynn Highway,PA,15101,40.590622,-79.948086,8,Convenience Store
201203120002,Mega Deli,Jay Shakti LLC,3/8/2012,995,Greensburg Pike,PA,15112,40.416874,-79.839453,8,Convenience Store
201211150010,Sheetz #500,Sheetz Inc,11/7/2012,1910,Mt Nebo Rd,PA,15143,40.552928,-80.115508,8,Convenience Store
201210240003,7 Eleven #35968H,7-Eleven Inc,9/18/2012,525,Perry Highway,PA,15229,40.396638,-77.026583,8,Convenience Store
200912080002,7 Eleven #36143A,,11/17/2009,601,Penn Av,PA,15222,40.442813,-80.001884,8,Convenience Store
200607180001,A & E Deli Food Mart,,7/14/2006,105,Brownsville Rd,PA,15210,40.41739,-79.986525,8,Convenience Store
35752,Al's Market,,6/17/1984,24,Braddock Ave,PA,15104,40.407271,-79.875462,8,Convenience Store
31340,Alstan Mini Mart,Khalid Ajmal & Saba Raees,1/1/1983,2516,Monroeville Blvd,PA,15146,40.426703,-79.788569,8,Convenience Store
200010230004,American Joe's,,10/18/2000,2105,Walnut St,PA,15132,40.340154,-79.859937,8,Convenience Store
201209070008,American Natural,Desdemona Holdings LP,8/23/2012,73,Carson St,PA,15219,40.430917,-80.001402,8,Convenience Store
201103230003,Avalon Mart,,3/15/2011,632,California Av,PA,15202,40.501336,-80.067941,8,Convenience Store
200310150002,AW Food Express / Sunoco,AW Food Express Inc,10/9/2003,1001,Pikettsburgh St,PA,15024,40.540809,-79.807543,8,Convenience Store
200809180008,Bett's Market,,9/8/2008,819,Brushton Ave,PA,15208,40.455264,-79.888216,8,Convenience Store
201404100004,Cash & Carry,Cash & Carry Gas Inc,4/9/2014,1021,Perry Hwy,PA,15237,40.540405,-80.036133,8,Convenience Store
201302250006,Cash & Carry Convenience Store,5 Rivers Inc,2/14/2013,7920,Saltsburg Rd,PA,15239,40.477508,-79.75943,8,Convenience Store
201307030015,Clairton Mini Mart,Asn United Inc,6/28/2013,672,Miller Av,PA,15025,40.290634,-79.883992,8,Convenience Store
201602010014,Clairton Mini-Mart,,1/25/2016,540,St Clair Ave,PA,15025,40.293214,-79.88689,8,Convenience Store
