neighborhood,crime_count,score
Central Business District,19943,0.0
South Side Flats,19098,0.04258643281927221
Carrick,11927,0.40399153311158154
Shadyside,8773,0.5629472835399657
Bloomfield,8704,0.5664247555689951
East Liberty,8451,0.5791754863421026
Squirrel Hill South,7809,0.6115310956556799
Brookline,7792,0.6123878641266001
Mount Washington,7723,0.6158653361556294
Homewood South,7297,0.6373349460739846
Lincoln-Lemington-Belmar,6865,0.659106944864429
Homewood North,6597,0.6726136478177602
Knoxville,6435,0.680778147364177
Brighton Heights,6305,0.6873299062594497
Sheraden,6214,0.6919161374861404
East Allegheny,6021,0.701642979538353
Beechview,5764,0.7145953028928536
Marshall-Shadeland,5693,0.7181735712125794
Hazelwood,5543,0.725733293014817
Allentown,5273,0.7393407922588449
Central Oakland,5229,0.7415583106541679
East Hills,5056,0.7502771897994154
Bluff,4838,0.7612639854853341
North Oakland,4762,0.7650942445318012
Highland Park,4562,0.7751738736014515
Central Lawrenceville,4385,0.784094345328092
South Side Slopes,4323,0.7872190303396835
Perry South,4313,0.787723011793166
Golden Triangle/Civic Arena,4278,0.7894869468803548
Crawford-Roberts,4197,0.7935691966535632
Middle Hill,4125,0.7971978631186373
Squirrel Hill North,4088,0.7990625944965225
Larimer,3904,0.8083358532406008
North Shore,3728,0.817205926821893
Greenfield,3658,0.8207337969962705
Allegheny Center,3614,0.8229513153915936
Garfield,3532,0.8270839633101502
Strip District,3530,0.8271847596008467
Central North Side,3255,0.8410442495716157
Perry North,3177,0.8449753049087794
Point Breeze,3073,0.8502167120249975
Chateau,2943,0.8567684709202701
Crafton Heights,2901,0.8588851930248966
Homewood West,2786,0.8646809797399455
Elliott,2675,0.8702751738736014
Bedford Dwellings,2675,0.8702751738736014
Northview Heights,2663,0.8708799516177805
Point Breeze North,2642,0.8719383126700937
Lower Lawrenceville,2604,0.8738534421933273
Spring Hill-City View,2480,0.8801028122165104
South Oakland,2442,0.882017941739744
Overbrook,2318,0.8882673117629272
Manchester,2281,0.8901320431408124
Outside City,2258,0.8912912004838222
Arlington,2166,0.8959278298558613
Troy Hill,2165,0.8959782280012095
Beltzhoover,2093,0.8996068944662836
West Oakland,2014,0.9035883479487955
Upper Hill,1974,0.9056042737627256
Stanton Heights,1885,0.9100897086987199
California-Kirkbride,1883,0.9101905049894163
Banksville,1795,0.9146255417800625
Fineview,1775,0.9156335046870275
Lincoln Place,1680,0.9204213284951114
Upper Lawrenceville,1670,0.9209253099485939
Westwood,1650,0.9219332728555589
Friendship,1650,0.9219332728555589
Morningside,1540,0.9274770688438665
Terrace Village,1469,0.9310553371635923
West End,1290,0.9400766051809294
Bon Air,1282,0.9404797903437153
South Shore,1272,0.9409837717971978
Duquesne Heights,1179,0.9456707993145852
Allegheny West,1094,0.9499546416691865
Polish Hill,1094,0.9499546416691865
Spring Garden,941,0.957665557907469
Windgap,886,0.9604374559016228
Fairywood,820,0.9637637334946074
Central Northside,786,0.9654772704364479
Glen Hazel,778,0.965880455599234
Esplen,705,0.9695595202096563
St. Clair,657,0.9719786311863723
Oakwood,629,0.9733897792561234
Arlington Heights,573,0.9762120753956255
Hays,569,0.9764136679770185
Regent Square,565,0.9766152605584114
Mount Oliver,541,0.9778248160467695
Summer Hill,523,0.978731982663038
Swisshelm Park,443,0.9827638342908981
East Carnegie,401,0.9848805563955246
Outside State,401,0.9848805563955246
New Homestead,353,0.9872996673722407
Chartiers City,339,0.9880052414071162
Ridgemont,296,0.990172361657091
Outside County,256,0.9921882874710211
Troy Hill-Herrs Island,252,0.992389880052414
Mt. Oliver Neighborhood,117,0.9991936296744279
Mt. Oliver Boro,101,1.0
