neighborhood,total_enrollment,score
Allegheny Center,84,0.057707509881422925
Allentown,289,0.21976284584980238
Arlington,186,0.1383399209486166
Arlington Heights,27,0.012648221343873518
Banksville,180,0.13359683794466404
Bedford Dwellings,220,0.16521739130434782
Beechview,794,0.6189723320158103
Beltzhoover,253,0.19130434782608696
Bloomfield,261,0.1976284584980237
Bluff,49,0.030039525691699605
Bon Air,55,0.034782608695652174
Brighton Heights,598,0.46403162055335967
Brookline,1169,0.9154150197628459
California-Kirkbride,125,0.09011857707509881
Carrick,1276,1.0
Central Lawrenceville,140,0.10197628458498023
Central Northside,150,0.10988142292490119
Central Oakland,16,0.003952569169960474
Chartiers City,35,0.018972332015810278
Crafton Heights,539,0.41739130434782606
Crawford-Roberts,228,0.1715415019762846
Duquesne Heights,78,0.052964426877470355
East Allegheny,72,0.048221343873517786
East Carnegie,27,0.012648221343873518
East Hills,569,0.44110671936758894
East Liberty,496,0.383399209486166
Elliott,229,0.17233201581027668
Esplen,26,0.011857707509881422
Fairywood,95,0.06640316205533597
Fineview,88,0.06086956521739131
Friendship,52,0.03241106719367589
Garfield,520,0.4023715415019763
Glen Hazel,70,0.0466403162055336
Golden Triangle,18,0.005533596837944664
Greenfield,487,0.37628458498023715
Hays,40,0.02292490118577075
Hazelwood,575,0.4458498023715415
Highland Park,412,0.31699604743083004
Homewood North,589,0.45691699604743086
Homewood South,477,0.3683794466403162
Homewood West,118,0.08458498023715415
Knoxville,616,0.4782608695652174
Larimer,256,0.19367588932806323
Lincoln Place,243,0.183399209486166
Lincoln-Lemington-Belmar,508,0.39288537549407115
Lower Lawrenceville,84,0.057707509881422925
Manchester,110,0.0782608695652174
Marshall-Shadeland,467,0.36047430830039523
Middle Hill,228,0.1715415019762846
Morningside,179,0.13280632411067195
Mount Oliver,76,0.05138339920948617
Mount Oliver Borough,476,0.3675889328063241
Mount Washington,417,0.3209486166007905
New Homestead,69,0.0458498023715415
North Oakland,11,0.0
Northview Heights,527,0.4079051383399209
Oakwood,75,0.05059288537549407
Overbrook,272,0.20632411067193676
Perry North,397,0.30513833992094863
Perry South,443,0.341501976284585
Point Breeze,317,0.24189723320158102
Point Breeze North,133,0.09644268774703557
Polish Hill,48,0.02924901185770751
Regent Square,48,0.02924901185770751
Ridgemont,20,0.0071146245059288534
Saint Clair,25,0.011067193675889328
Shadyside,217,0.16284584980237155
Sheraden,694,0.5399209486166008
South Oakland,77,0.05217391304347826
South Side Flats,112,0.07984189723320158
South Side Slopes,182,0.13517786561264822
Spring Garden,67,0.04426877470355731
Spring Hill-City View,239,0.18023715415019761
Squirrel Hill North,333,0.2545454545454545
Squirrel Hill South,679,0.5280632411067193
Stanton Heights,332,0.25375494071146243
Summer Hill,45,0.026877470355731226
Swisshelm Park,56,0.03557312252964427
Terrace Village,401,0.308300395256917
Troy Hill,148,0.108300395256917
Upper Hill,135,0.09802371541501977
Upper Lawrenceville,112,0.07984189723320158
West End,28,0.013438735177865613
West Oakland,54,0.03399209486166008
Westwood,269,0.20395256916996046
Wilkinsburg Borough,305,0.23241106719367588
Windgap,110,0.0782608695652174
