neighborhood,school,enrolled_students
Allegheny Center,Other,50
Allegheny Center,PITTSBURGH KING PreK-8,34
Allentown,Other,96
Allentown,PITTSBURGH GRANDVIEW PreK-5,76
Allentown,PITTSBURGH SOUTH HILLS 6-8,50
Allentown,PITTSBURGH CARRICK HIGH SCHOOL,35
Allentown,PITTSBURGH CARMALT PreK-8,21
Allentown,PITTSBURGH OBAMA IB 6-12,11
Arlington,PITTSBURGH ARLINGTON PreK-8,61
Arlington,Other,56
Arlington,PITTSBURGH CARRICK HIGH SCHOOL,36
Arlington,PITTSBURGH CARMALT PreK-8,18
Arlington,PITTSBURGH PHILLIPS K-5,15
Arlington Heights,PITTSBURGH ARLINGTON PreK-8,16
Arlington Heights,Other,11
Banksville,PITTSBURGH BANKSVILLE K-5,68
Banksville,Other,40
Banksville,PITTSBURGH BRASHEAR HIGH SCHOOL,29
Banksville,PITTSBURGH CARMALT PreK-8,16
Banksville,PITTSBURGH SOUTH HILLS 6-8,16
Banksville,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
Bedford Dwellings,Other,80
Bedford Dwellings,PITTSBURGH MILLER PreK-5,71
Bedford Dwellings,PITTSBURGH MILLIONES 6-12,45
Bedford Dwellings,PITTSBURGH LIBERTY K-5,13
Bedford Dwellings,PITTSBURGH CLASSICAL 6-8,11
Beechview,PITTSBURGH BEECHWOOD PreK-5,225
Beechview,PITTSBURGH BRASHEAR HIGH SCHOOL,166
Beechview,Other,79
Beechview,PITTSBURGH SOUTH HILLS 6-8,67
Beechview,PITTSBURGH SCHILLER 6-8,43
Beechview,PITTSBURGH BANKSVILLE K-5,42
Beechview,PITTSBURGH CARMALT PreK-8,39
Beechview,PITTSBURGH BEECHWOOD EARLY CHILDHOOD,33
Beechview,PITTSBURGH CLASSICAL 6-8,31
Beechview,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,28
Beechview,PITTSBURGH CAPA 6-12,23
Beechview,PITTSBURGH BROOKLINE PreK-8,18
Beltzhoover,Other,84
Beltzhoover,PITTSBURGH GRANDVIEW PreK-5,49
Beltzhoover,PITTSBURGH CARRICK HIGH SCHOOL,33
Beltzhoover,PITTSBURGH SOUTH HILLS 6-8,29
Beltzhoover,PITTSBURGH CARMALT PreK-8,22
Beltzhoover,PITTSBURGH PHILLIPS K-5,20
Beltzhoover,PITTSBURGH OBAMA IB 6-12,16
Bloomfield,Other,73
Bloomfield,PITTSBURGH WOOLSLAIR PreK-5,43
Bloomfield,PITTSBURGH MONTESSORI PreK-5,39
Bloomfield,PITTSBURGH ALLDERDICE HIGH SCHOOL,23
Bloomfield,PITTSBURGH CAPA 6-12,22
Bloomfield,PITTSBURGH ARSENAL 6-8,21
Bloomfield,PITTSBURGH MONTESSORI EARLY CHILDHOOD,15
Bloomfield,PITTSBURGH LIBERTY K-5,13
Bloomfield,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,12
Bluff,Other,49
Bon Air,Other,32
Bon Air,PITTSBURGH SOUTH BROOK 6-8,12
Bon Air,PITTSBURGH CARRICK HIGH SCHOOL,11
Brighton Heights,PITTSBURGH MORROW PreK-8,218
Brighton Heights,Other,120
Brighton Heights,PITTSBURGH ALLEGHENY K-5,72
Brighton Heights,PITTSBURGH PERRY HIGH SCHOOL,46
Brighton Heights,PITTSBURGH CAPA 6-12,34
Brighton Heights,PITTSBURGH ALLDERDICE HIGH SCHOOL,26
Brighton Heights,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,25
Brighton Heights,PITTSBURGH OBAMA IB 6-12,16
Brighton Heights,PITTSBURGH MORROW EARLY CHILDHOOD,15
Brighton Heights,PITTSBURGH BRASHEAR HIGH SCHOOL,13
Brighton Heights,PITTSBURGH DILWORTH PreK-5,13
Brookline,PITTSBURGH BROOKLINE PreK-8,394
Brookline,PITTSBURGH BRASHEAR HIGH SCHOOL,164
Brookline,PITTSBURGH WEST LIBERTY PreK-5,120
Brookline,PITTSBURGH CARMALT PreK-8,114
Brookline,Other,83
Brookline,PITTSBURGH SOUTH BROOK 6-8,58
Brookline,PITTSBURGH CAPA 6-12,53
Brookline,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,51
Brookline,PITTSBURGH CARRICK HIGH SCHOOL,45
Brookline,PITTSBURGH WEST LIBERTY EARLY CHILDHOOD CENTER,17
Brookline,PITTSBURGH BANKSVILLE K-5,16
